booking_id,no_show
88170,0
98622,1
117971,0
33547,0
67238,1
79910,0
87795,0
17737,0
106470,1
113984,1
41888,0
57880,0
79770,1
33058,0
92898,1
93881,1
32352,1
21820,0
108531,1
49620,1
88872,1
117688,0
46529,1
26283,0
72281,0
23122,0
30051,0
8944,0
115888,1
69520,0
112182,0
57037,1
31113,1
85895,0
41392,0
11245,1
50916,0
20499,0
89140,1
1255,0
113146,0
43607,0
12190,1
12775,0
115170,0
16235,0
59107,0
76928,0
23857,0
95876,0
41168,0
25452,1
110865,1
35091,1
107536,0
111635,1
115208,0
88935,1
1976,0
5543,0
87804,0
38955,0
57048,0
88739,0
25165,1
18716,0
106464,0
39646,0
18979,0
115696,1
41627,0
21390,1
75339,1
72822,0
110968,0
81439,1
5765,1
109637,0
104011,1
66386,0
18527,0
25736,0
88843,0
54663,0
114733,1
24030,0
88399,1
2191,0
99176,0
95225,0
18164,0
111879,0
3562,1
76874,1
44402,0
61879,1
51189,0
94234,0
112828,0
15642,1
79916,0
91611,1
55368,0
32680,0
79472,0
28346,0
82791,0
11465,0
39397,1
115301,0
33072,0
84153,0
67802,1
62620,0
111435,1
56232,1
107352,0
14883,0
82034,0
104236,1
109725,1
39847,0
37199,1
86053,0
75630,0
80825,0
15479,1
47212,1
43435,1
9865,0
29815,0
115938,0
60831,0
20565,0
8010,0
23662,1
94811,0
115162,0
73027,1
92242,1
95220,0
90766,1
52363,1
76100,0
39811,0
53459,0
90265,0
66111,0
61947,1
88303,1
74555,0
100260,0
85546,0
77669,0
46513,0
18649,0
70326,1
15799,1
4672,0
38304,1
67449,1
93908,1
113945,0
29424,0
84676,0
110584,0
99965,0
93073,0
45399,0
59566,0
45210,0
33322,0
57987,0
101933,0
73144,0
58612,0
17761,0
10929,0
104694,0
46472,0
100811,0
15937,1
19084,0
116877,1
30507,0
103603,0
55091,0
114529,0
28256,0
83019,1
109280,1
92234,1
19192,0
58512,0
80522,0
113617,1
5902,0
53940,0
104989,1
71092,1
37949,0
100716,1
117559,1
62267,1
69609,0
91053,0
47943,0
88748,1
34100,1
60854,0
67193,1
18449,0
20390,0
111372,0
108286,0
101458,1
88090,0
12956,1
85550,0
112869,0
53260,0
102333,0
113936,0
10857,0
41178,1
43463,0
69024,1
80161,0
78210,0
24619,0
101728,1
84152,1
23405,0
38471,1
70943,0
12850,0
91996,1
67305,0
34853,1
5110,0
101431,0
98935,0
9447,1
14602,0
112508,0
109653,0
85310,0
63218,1
84189,1
21915,0
27797,1
105017,0
58165,0
6686,1
6394,0
57321,0
37776,0
77367,0
50891,1
39130,1
64033,1
62684,0
102765,0
52330,0
39883,0
109645,0
223,1
64770,1
105904,0
56132,1
9580,0
36996,0
91180,0
55121,1
12934,0
84840,0
39558,1
40665,0
84088,0
115441,1
76061,1
95747,1
44218,1
38795,1
119227,0
35309,0
107876,1
22819,0
18414,0
37418,1
40250,1
101451,0
3464,1
47266,0
113756,1
53511,0
21342,0
114393,1
23113,1
34219,0
113591,0
33218,0
96710,0
76307,0
114448,0
88804,1
89902,1
66829,0
60942,0
16397,1
114336,1
15500,1
22279,0
5523,0
631,0
84797,0
112486,1
72621,0
28414,0
115368,0
52195,1
66594,0
28098,1
38481,0
4431,1
113154,1
20446,1
33835,1
16624,0
81699,1
44004,1
109572,0
100969,1
19315,1
3795,0
4521,0
116850,0
89553,0
312,0
93162,0
69729,0
87399,0
43013,0
114870,0
101236,1
7410,1
4178,1
105510,1
22773,0
84873,1
14579,1
96067,0
50255,0
2923,1
115214,0
80553,0
26487,1
22640,1
55989,1
114011,0
98468,0
84963,0
94215,0
31266,1
90338,0
6348,0
36499,1
37483,0
77686,1
57224,0
3222,0
33349,0
70842,0
93709,0
66235,1
8832,0
113170,0
33442,0
94437,0
19101,1
36040,0
76197,0
114610,0
60118,0
99903,0
88559,0
107736,1
53796,0
50715,1
104255,0
31633,1
70250,0
88613,0
60750,1
4336,1
48442,0
12036,0
112347,1
28691,1
78757,1
21355,0
42732,0
40941,0
84730,0
52076,1
46194,0
101508,1
40494,1
62173,0
76169,1
78471,0
61317,0
42326,1
107071,1
85149,1
21142,0
19431,1
106674,0
14236,0
43058,1
42192,0
58506,0
26860,0
94571,0
107579,0
118207,0
74720,0
61573,0
71173,0
35939,1
76624,0
100721,1
725,0
61246,0
107370,1
23585,0
41343,0
105974,0
70247,0
52131,0
11421,0
19790,1
27493,0
72641,0
58143,0
35554,0
656,0
93983,0
67694,0
37766,0
95048,0
60882,0
71340,0
91360,0
25200,0
57246,0
15082,0
32715,0
75981,0
74198,1
98720,0
82327,0
116454,1
68655,1
110580,0
73249,1
45703,1
81909,1
93315,0
34563,0
31125,0
17820,0
39274,0
85779,0
101568,0
113310,1
103862,0
20237,1
32813,0
73569,1
44262,0
65774,0
8783,1
100166,1
8175,1
75305,0
38457,1
104030,0
58208,0
72157,0
113956,0
25812,1
111512,1
88423,1
104084,1
96076,1
98718,1
107661,0
44180,0
48639,0
6283,0
15192,1
55365,0
56465,1
90985,0
117463,1
49736,1
87665,0
