student_id,number_of_siblings,n_male,n_female,age,hours_per_week,attendance_rate,sleep_hours,admission_No,admission_Yes,CCA_Arts,CCA_Clubs,CCA_None,CCA_Sports,learnStyle_Auditory,learnStyle_Visual,gen_Female,gen_Male,tuition_No,tuition_Yes,bag_color_black,bag_color_blue,bag_color_green,bag_color_red,bag_color_white,bag_color_yellow,mode_of_transport_private transport,mode_of_transport_public transport,mode_of_transport_walk
TNR24V,1,10.0,11.0,15.0,6.0,91.0,8,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
W5YWOP,0,21.0,3.0,16.0,6.0,92.0,8,True,False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False
UX8IC2,2,8.0,6.0,15.0,5.0,94.0,8,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True
E2HG5Y,1,21.0,9.0,6.0,13.0,95.0,8,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False
K30COD,1,23.0,1.0,16.0,3.0,93.0,8,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True
T6RPQC,1,6.0,11.0,15.0,10.0,99.0,8,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
WEX3CO,0,11.0,13.0,16.0,8.0,91.0,8,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
O0MCDZ,1,20.0,2.0,15.0,7.0,91.0,8,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False
DKO35D,1,10.0,12.0,16.0,7.0,92.0,8,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True
7QJPYU,1,11.0,16.0,16.0,6.0,97.0,8,True,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False
OF3DU8,1,10.0,14.0,16.0,17.0,95.0,8,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False
WDUYOF,1,20.0,4.0,15.0,10.0,91.0,8,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
7W9I9O,0,13.0,7.0,6.0,12.0,92.0,8,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False
9NTM2R,0,24.0,3.0,16.0,11.0,94.0,8,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True
7X99ZT,2,12.0,3.0,16.0,7.0,93.0,8,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False
2AB07R,1,21.0,9.0,15.0,5.0,92.0,8,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True
FBF8SL,1,19.0,9.0,16.0,3.0,91.0,8,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False
9OWP0Z,1,20.0,11.0,15.0,15.0,99.0,8,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False
Z84H51,1,20.0,7.0,15.0,18.0,98.0,8,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
RJ2GWA,1,20.0,1.0,16.0,11.0,95.0,8,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False
8B3XJP,0,19.0,0.0,15.0,8.0,95.0,8,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False
CLPECK,0,1.0,14.0,15.0,9.0,92.0,8,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
RP0AYJ,0,0.0,19.0,16.0,5.0,90.0,8,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False
VR6R5T,0,19.0,1.0,16.0,8.0,94.0,8,True,False,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False
