student_id,final_test
TNR24V,71.0
W5YWOP,91.0
UX8IC2,78.0
E2HG5Y,52.0
K30COD,48.0
T6RPQC,88.0
WEX3CO,80.0
O0MCDZ,81.0
DKO35D,85.0
7QJPYU,62.0
OF3DU8,70.0
WDUYOF,48.0
7W9I9O,58.0
9NTM2R,63.0
7X99ZT,72.0
2AB07R,48.0
FBF8SL,42.0
9OWP0Z,55.0
Z84H51,64.0
RJ2GWA,66.0
8B3XJP,95.0
CLPECK,83.0
RP0AYJ,75.0
VR6R5T,68.0
CYYSEY,46.0
93Q6F0,73.0
VUXITX,67.0
ZCNXVW,72.0
AYR473,60.0
6TAS5O,48.0
BRITUT,59.0
MDEX13,62.0
4DT3KZ,73.0
VLON2F,49.0
XR0E5X,64.0
5H5JR1,87.0
XUCLOM,93.0
RQ07LG,72.0
F1S8H9,81.0
ZJEX3O,64.0
9TN9EU,81.0
OO6BWJ,77.0
WDRXEX,83.0
ZB9JK7,55.0
WYE6WU,39.0
GHMY2W,60.0
0F92HK,76.0
VQCRNX,42.0
PCPC9I,59.0
Y5PLE8,80.0
PK3D8Z,66.0
LKAF31,77.0
3SYMC7,63.0
E7W6KY,67.0
G1D700,79.0
2PJLYR,62.0
V97ZW3,70.0
OT93J7,87.0
4NTU5R,76.0
I9IY3F,79.0
WH6HJQ,79.0
M87DUK,57.0
RLFS08,56.0
FGDOCZ,74.0
YBGRGZ,54.0
FV125B,69.0
3L441T,77.0
1D5P1K,78.0
ISDA01,65.0
VIZ78D,79.0
U3UEVV,92.0
3LYRMP,61.0
6GPZTL,63.0
5JL9M8,77.0
IGFK6F,72.0
RM1YRO,48.0
NCXMI9,75.0
3ASEV5,47.0
RSTMMA,93.0
ENW356,81.0
A0GDIX,79.0
CMG5V7,41.0
Z6F640,71.0
WQ8C12,60.0
HFHFLP,91.0
JE57VB,81.0
6HIRWE,72.0
U918NV,58.0
4L8DNY,73.0
OST3KW,66.0
561R13,80.0
8X76NZ,90.0
AW0RCP,66.0
3JUUC4,77.0
MAXUEQ,54.0
WGXO0Z,66.0
5T0MAY,76.0
RWEBEQ,70.0
X5LKU2,71.0
T6FTLV,90.0
ZCT7O8,48.0
OWBUWC,47.0
D2PBML,52.0
73VF4I,96.0
GTMT8D,74.0
6240JF,62.0
11FL6G,48.0
05OOPM,60.0
5KI4KY,67.0
JDFFXN,46.0
Q18GTG,68.0
RUG6S3,70.0
IGSNWQ,65.0
IXQXXT,71.0
HCPSCM,63.0
RFN08S,50.0
KAAGHC,57.0
2K0ITG,86.0
VSJQ73,58.0
P0M8S5,67.0
COBM9U,56.0
1X93GT,78.0
XCPO3E,77.0
GNZG72,72.0
JVMZ0B,45.0
OGC7IJ,63.0
UWCTUN,53.0
2FP1JW,49.0
3CIFWW,80.0
O4I4A7,78.0
PE91AY,80.0
YV6MR5,56.0
KN8950,66.0
VVZD4Z,75.0
79HYRQ,72.0
578JE0,66.0
2H5OXV,53.0
QFWFXG,69.0
QYI29L,78.0
HJ1TQR,54.0
FWVNOG,45.0
JH5XNZ,78.0
FD6NCM,80.0
U7SU8N,61.0
DWVSJ2,60.0
LLMK72,50.0
U1WEPL,62.0
9QYM23,57.0
U36PYH,53.0
0BP01K,69.0
KVT8LM,81.0
FRT4R8,94.0
937KYS,59.0
Z8U9SI,73.0
KJEWD1,68.0
W9WV7A,58.0
DJUMDH,72.0
3XKAAX,68.0
OSC8X7,53.0
KYNYTV,73.0
CH4T5V,51.0
92I6UW,90.0
UR0TAV,91.0
2YFCAC,69.0
84VTPW,69.0
DKNAMJ,60.0
PZ15OJ,72.0
YEXT9R,67.0
3MPVYY,63.0
1IFJFM,50.0
2T9687,54.0
ULXKML,69.0
BBKMSO,90.0
V4XBIU,58.0
LNUAK4,60.0
SSG89B,71.0
E4467Q,83.0
IVV8DN,57.0
3GYAB4,92.0
TXA4TS,88.0
R3R02B,67.0
NSVGOT,67.0
33CU31,69.0
LCGVJ5,79.0
6C83XH,78.0
PHG9J2,50.0
X1RAYL,39.0
942H64,79.0
73TTR4,49.0
KRJP35,82.0
SC5EEX,82.0
4VMU98,69.0
0SG8SK,94.0
HF7WFL,57.0
Q4BG2I,80.0
8YKUQ0,61.0
H66RY9,48.0
FFSFKY,47.0
66OF21,56.0
RET8U1,88.0
8ZP57D,57.0
PX9VD2,55.0
678TIB,58.0
JUREBN,71.0
004WW1,69.0
MMVIKA,73.0
RJGQUE,48.0
WEM628,55.0
B63NOZ,90.0
Q9HNQY,58.0
5OYE2U,50.0
886IUI,79.0
DY5AQC,57.0
Z9TK4W,72.0
9EAXQE,74.0
EMRF5F,74.0
7JKHOD,78.0
47M22O,100.0
T8QG35,79.0
OM7R47,100.0
FY2ENA,61.0
VRTQDT,61.0
V09LKD,44.0
K1K20S,96.0
8JQBWM,64.0
H37AGX,80.0
3ZOZHM,65.0
8VKOV6,48.0
7RISRY,78.0
3GJP0J,63.0
O9DUDW,91.0
PFVB8Q,39.0
WX7M4D,62.0
62SD21,77.0
O6X0WQ,42.0
LFYZKQ,54.0
9PQ1JZ,100.0
SZ7X8E,49.0
ZL4B3M,52.0
WIFSKQ,98.0
ZVPV5Z,68.0
179WDQ,51.0
STDVG3,70.0
7BOWKX,59.0
XOUG16,67.0
IQN1QV,56.0
K2F4XB,50.0
M6QKXZ,56.0
TCG0YL,65.0
5O3G6D,71.0
T0NC13,68.0
JTZ4MT,76.0
SD79AC,77.0
0R3951,65.0
Z0ZSFP,52.0
W77QFM,54.0
BHTIZV,71.0
EAWHR2,84.0
1YALDB,38.0
PYCWAV,83.0
RINMLB,58.0
9OTOHL,59.0
HMDLBS,59.0
NY3RNS,73.0
VX2U4S,78.0
WPUEID,66.0
DOHH8O,84.0
F4PFUP,62.0
4U5LQ9,64.0
DE9R2H,69.0
Z4W9Q4,69.0
HM6HY7,59.0
UCYK4W,55.0
TEVUGE,75.0
0E0VTP,50.0
DVU8GJ,48.0
7XH8AD,55.0
Z70D0T,45.0
OV87IL,73.0
LPLKLA,79.0
QAD5N2,80.0
KMVT58,60.0
2UAEH5,64.0
VFS5Y5,92.0
XFOQ9Z,41.0
R3L3V7,50.0
73L7M9,78.0
7F2TQ3,61.0
NG4VTF,70.0
OGO1J0,64.0
DWUUC4,65.0
PSB7S9,45.0
X81UIR,84.0
9OR30K,66.0
ZOP6HN,91.0
894SIA,59.0
MAZKJQ,67.0
8YF64C,67.0
P3N5YS,61.0
00IX6J,73.0
