student_id,number_of_siblings,n_male,n_female,age,hours_per_week,attendance_rate,sleep_hours,admission_No,admission_Yes,CCA_Arts,CCA_Clubs,CCA_None,CCA_Sports,learnStyle_Auditory,learnStyle_Visual,gen_Female,gen_Male,tuition_No,tuition_Yes,bag_color_black,bag_color_blue,bag_color_green,bag_color_red,bag_color_white,bag_color_yellow,mode_of_transport_private transport,mode_of_transport_public transport,mode_of_transport_walk
R9PH9R,1,25.0,2.0,15.0,7.0,94.0,8,True,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False
U2PG7F,1,10.0,20.0,16.0,7.0,91.0,8,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
EDLJRJ,1,19.0,3.0,16.0,10.0,93.0,7,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False
59GUAL,0,9.0,11.0,15.0,7.0,95.0,8,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False
P8G9X8,1,13.0,17.0,16.0,5.0,99.0,8,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True
UI9813,1,20.0,8.0,15.0,15.0,94.0,8,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False
RB5OCH,1,10.0,11.0,15.0,8.0,97.0,8,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False
XWPT07,0,10.0,6.0,16.0,15.0,93.0,8,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
WGR834,2,14.0,9.0,5.0,7.0,45.0,4,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False
1QQV3O,2,5.0,12.0,16.0,8.0,99.0,8,True,False,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False
LMWVQC,1,23.0,1.0,15.0,18.0,99.0,8,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True
IUNQRV,2,11.0,8.0,16.0,20.0,96.0,8,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False
9YN0XU,0,12.0,3.0,16.0,5.0,95.0,8,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
JTXRFZ,0,21.0,1.0,16.0,12.0,94.0,8,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
7IWHFQ,1,17.0,0.0,16.0,9.0,94.0,8,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False
4FAB0P,2,17.0,6.0,15.0,20.0,96.0,8,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True
HR9AH0,0,11.0,16.0,15.0,17.0,95.0,8,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
GXNZ30,0,5.0,18.0,15.0,7.0,99.0,8,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True
PNT84T,2,3.0,16.0,16.0,8.0,99.0,8,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True
LF2ECZ,0,13.0,5.0,15.0,7.0,92.0,8,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False
